Name	Type	Set 	Cost	Damage	Momentum	Target	Traits	Wrestler Kit	Signature For	Game Text	ImageFile
Learning Moment	Response	Advanced	5	0	5					Resilient, Relentless Reverse any maneuver of 4C or less. Special - Can't be played from hand and if this would be put into your Discard from your Ring, put it beneath your draw deck instead. 	Learning Moment
Lights Go Out	Action	Advanced	4	0	2					Hidden, Permanent.  Ongoing - Your face down cards have Permanent.  Turned - Play a card with Hidden from your discard face down. 	
Lights Out	Action	Advanced	12	0	2					Ongoing - Your Punches have Sudden and +2M.	Lights Out
Locked Out 	Action	Advanced	3	0	2					Ongoing - Choose a card in opponent's market. They can't purchase that card. 	Locked Out 
Loved	Action	Advanced	7	0	2				Christian Cage, Patriarch	Relentless. Enters - Opponent Commits a card in their ring and tucks a card from their discard.  Christian Cage - Gain Stamina equal to the Momentum of the committed card.  Patriarch - You may Purchase a card with cost equal to or less than the Momentum of the Tucked card. 	Loved
Low Effort Kick	Strike	Advanced 	2	2	6	L				(Sloth needed) Enters - Opponent discards a card.  Staggered - They discard two instead. 	Low Effort Kick
Maintain Hold	Action	Advanced	7	0	2					Follow-Up - Enters - When played after a Submission Choose one: Attempt the Submission this followed or Try to Submit Opponent using the Followed Submission	Maintain Hold
Man Can't Breath Can't Fight	Action	Advanced	5	0	2					Permanent. Ongoing - Your maneuvers with T:T are +1D.	Man Can't Breath Can't Fight
Man Can't Stand, Can't Fight	Action	Advanced	5	0	2					Permanent. Ongoing - Your maneuvers with T:L are +1D.	Man Can't Stand, Can't Fight
Maximum Effort 	Action	Advanced	4	0	3					Enters - Play a maneuver from hand. It's Enters abilities trigger an additional time.	Maximum Effort 
Maxwell Jacob Friedman Wrestler	Wrestler	Advanced			4			TRUE	Maxwell Jacob Friedman Wrestler	Ongoing - Your Hand is +1.	Maxwell Jacob Friedman
Mike Tyson Manager	Manager	Advanced			3		Boxer	TRUE	Mike Tyson Manager	Tie-Up Action - Attempt to Punch opponent, it gains "Enters - Stun opponent then Scout"	Mike Tyson
Mike Tyson Wrestler	Wrestler	Advanced			5		Boxer	TRUE	Mike Tyson Wrestler	Tie-Up Action - Commit: Play a Punch with cost 5 or less from your Hand, Market, or Discard. It gets +2D and "Enters - Stun opponent then Scout".	Mike Tyson
Mongolian Chop	Strike	Advanced	2	4	4		Chop			Sudden, Relentless	Mongolian Chop
Muscle Buster	Grapple	Advanced	20*	14	14	H		TRUE	Samoa Joe Wrestler	*Costs half when played from a location other than your hand (like from being granted Sudden or Relentless, or any other effect that tells you to play by paying) 	Muscle Buster
Nope	Response	Advanced	5	0	4			TRUE	Samoa Joe Wrestler	Reverse any maneuver or action. Ignore any additional costs to play this reversal (this ignores Finisher and Pressing, etc...) 	Nope
Ogogo Reversal	Response	Advanced	5	2	3			TRUE	Anthony Ogogo Wrestler	Reverse any maneuver. Enters - You may play a Punch from your Discard or Market with cost less than our equal to the cost of the reversed card. 	Ogogo Reversal
Olympic Bronze Boxer	Action	Advanced	8	0	4			TRUE	Anthony Ogogo Wrestler	Ongoing - Your Punches have Sudden. 	Olympic Bronze Boxer
Open Hand Chop	Strike	Advanced	0	2	2	T	Chop			Relentless. Enters - Stun opponent. 	Open Hand Chop
Orange Cassidy Wrestler	Wrestler	Advanced 			2//6			TRUE	Orange Cassidy Wrestler	Front: (Sloth) Ready Action - Commit: Reveal cards from your draw deck until you reveal a (Sloth) card, put it into your hand. Discard the rest, if none are found just shuffle your draw deck. // Staggered: Flip // Back: (Sloth) Ongoing - Your maneuvers are +1D for each (Sloth) card in your ring. 	Orange Cassidy
Patriarch	Call Name	Advanced						TRUE	Patriarch	Your Starting deck may contain one copy of the following cards: Devoted, Sacrificing, Respected, and Compassionate. 	Patriarch
Payback Chop	Strike	Advanced 	0	2	3	T				Retaliate - +3D	Payback Chop
Persistent Chop	Strike	Advanced	2	3	3	T	Chop			Resilient, Relentless 	Persistent Chop
Powerbomb	Grapple	Advanced	9	10	10	T	Slam			Enters - Create a Winded token in your opponent's ring and a Beast token in your ring. Choose one of those to gain Permanent this turn.	Powerbomb
Powerful Grappler	Action	Advanced	6	0	3					Tie-Up Enters - Play a Grapple from hand or discard. If played from hand it gains Power Attack. If reversed being played from discard, put it beneath your draw deck. 	Powerful Grappler
Powerhouse	Call Name	Advanced			3			TRUE	Powerhouse	Your maneuvers with no printed abilities are -2C. 	Powerhouse
Punch	Strike	Advanced	0	1	3	H	Punch				Punch
Rainmaker	Strike	Advanced	16	12	12	H	Lariat	TRUE	Kazuchika Okada 	Enters - You may shuffle your Discard, Market, and Purchase Deck into your Draw Deck. If you don't, your Hand, Hold, and Market are all +2 this turn. 	Rainmaker
Rainmaker Pose	Action	Advanced	8	0	3			TRUE	Kazuchika Okada  Wrestler	Enters - Pay X Momentum to look at the top X cards of your Draw Deck, you may Tuck any number of those cards.  Special - If this would be put into your Discard from anywhere shuffle it into your Draw Deck instead. 	Rainmaker Pose
Rally the Crowd 	Action	Advanced	1	0	2					Permanent, Sturdy	Rally the Crowd 
Ready Up	Action	Advanced	1	0	2					Sudden. Enters - Uncommit a card	Ready Up
Rear Hook	Strike	Advanced	1	3	4	H	Punch			Combo Attack	Rear Hook
Rear Naked Choke	Submission	Advanced	12	8	8	H				Enters - Try to Submit Opponent 	Rear Naked Choke
Repeated Disrespect	Strike	Advanced	2	2	2	H				Hidden. Turned - Put a charge counter on this, turn it face down again. This gains Permanent this turn.  Special - This is +1C/+1D for each counter on this. 	Repeated Disrespect
Repose	Response	Advanced	5	0	3					Hidden. Reverse any Strike. If played from Ring, reverse any maneuver	Repose
Respected	Action	Advanced	3	0						Ongoing - Your cards played from outside your hand gain Pressing	Respected
Ripcord	Grapple	Advanced	4	0	2		Set-up			Enters - Choose one: Play a maneuver from your Market by paying for it. If it's reversed, Tuck it. OR Attempt to Lariat opponent 	Ripcord
Roll Up	Grapple	Advanced	9	2	3	T				Follow-Up - Try to Pin opponent	Roll Up
Ruby Soho Manager	Manager	Advanced			3			TRUE	Ruby Soho Manager, Angelo Parker Wrestler	Angelo Parker - Your Starting Hand is +1 (this does not effect your hands after your opening hand). Action - Commit : Attempt to Get a Pop, it gains "Enters - Choose one : Gain 2 Stamina or Scout."	Ruby Soho
Ruby Soho Wrestler	Wrestler	Advanced			4			TRUE	Ruby Soho Wrestler	Action - Commit : Attempt to Get a Pop, it gains "Enters - Gain 2 Stamina and Scout".  Ongoing - Your Tokens are +1M.	Ruby Soho
Running Boot	Strike	Advanced	4	9	9	H	High Risk, Kick				Running Boot
Running Lariat	Strike	Advanced	4	5	5	T				Enters - Stun opponent. Hangman Enters - Scout	Running Lariat
Sacrificing	Action	Advanced	2	0	3					Enters - Put a card from your ring into your Discard. Each player loses Stamina equal to its Momentum, you may also Tuck cards from your discard equal to its cost. 	Sacrificing
Samoa Joe Wrestler	Wrestler	Advanced			5			TRUE	Samoa Joe Wrestler	Tie-Up Action - Commit and discard a card : Give up to two cards in your Market Sudden this turn. 	Samoa Joe
Samoan Drop	Grapple	Advanced	3	6	6	T				This is +1D for each maneuver type in your ring (Strike, Grapple, Submission) 	Samoan Drop
Samoan Submission Machine	Call Name	Advanced			2			TRUE	Samoan Submission Machine	Your Starting Draw Deck may include one copy of the card Sleeper and up to 3 cost worth of other cards. 	Samoan Submission Machine
School Boy	Grapple	Advanced	11	3	3	T				Can Reverse any maneuver with an Enters ability. Enters - Try to Pin opponent. 	School Boy
Scorpion Deathlock	Submission	Advanced 	10	10	10	L				Focus Attack	Scorpion Deathlock
Seize the Initiative	Response	Advanced	4	0	3					Reverse any Action or Strike	Seize the Initiative
Selfless	Action	Advanced	8	0	4				Christian Cage	Ongoing - Opponent's Hand, Hold, and Market are all +1.  Enters - Draw three cards and gain 3 Stamina. 	Selfless
Shake It Off 	Action	Advanced	2	0	2					Ongoing - Choose a card in opponent's ring. That card loses all abilities. 	Shake It Off 
Shoulder Capture Suplex	Grapple	Advanced	8	6	4		Suplex			Can Reverse any Kick	Shoulder Capture Suplex
Shut the Fuck Up	Response	Advanced	3	0	2					Permanent, Relentless. Reverse any Action. 	Shut the Fuck Up
Side Kick	Strike	Advanced	2	6	6	T	Kick				Side Kick
Skilled Boxer	Action	Advanced	3	0	2					Enters - You may purchase a Punch from your Market.  Ongoing - Your Punches are -1C. 	Skilled Boxer
Slip 	Response	Advanced	2	0	3					Reverse any Strike. If it is a Punch, Lariat, or Kick, draw a card	Slip 
Snap Dragon Suplex	Grapple	Advanced	6	6	6	H	Suplex		Kenny Omega 	Sudden. Kenny Omega - Cost -2.	Snap Dragon Suplex
Snap Leg Kick	Strike	Advanced	0	3	2	L	Kick		Speedball	Ongoing - Your Kicks are -1C. Speedball Enters - This gains Permanent this turn. 	Snap Leg Kick
Sniper	Action	Advanced	1	0	3					Enters - Choose a Strike in your discard pile. If this is the Tie-Up phase and it has T:H you may play that card. Otherwise put it beneath your draw deck and draw a card. 	Sniper
Speedball	Call Name	Advanced			3			TRUE	Speedball	Your Starting Draw Deck may contain up to 4 cost of Kicks, and 3 cost of other cards	Speedball
Spit at Opponent 	Action	Advanced	4	0	2					Cycling. Ready Enters - Opponent chooses one: Discard a Response or pay 4M and lose 4 Stamina	Spit at Opponent 
Spray Mist	Action	Advanced	4	0	3					Hidden  Enters - Opponent discards a card.  Turned - Create a Blinded token in Opponent's Ring.	Spray Mist
Steal the Mic	Response	Advanced	2	0	1					Sudden. Reverse any Action. Enters - Choose one - Attempt to Anger the Crowd or Attempt to Rally the Crowd 	Steal the Mic
Sting Manager	Manager	Advanced			3			TRUE	Sting	Response - Commit, Pay 2M, and discard a card: Reduce the damage of a opponent's maneuver by the discarded Momentum.	Sting
Study the Tapes 	Action	Advanced	3	0	2					Permanent. Enters - Search your Purchase Deck for a Reversal card and put it in your Market. 	Study the Tapes 
Stuff	Response	Advanced	2	0	3					Reverse any Grapple. If it's a Slam, Suplex, or Takedown draw a card	Stuff
Styles Clash 	Grapple	Advanced	12	6	10	T				Resilient 	Styles Clash 
Sucker Punch 	Strike	Advanced	4	4	4	H	Punch			Sudden, Focus Attack	Sucker Punch 
Sunglasses	Action	Advanced	6	0	4		Item			(Sloth) Ready Enters - Draw three cards then discard a card.   Staggered - Your (Slothx2 needed) cards have Relentless. 	Sunglasses
Suplex	Grapple	Advanced	0	4	3	T	Suplex				Suplex
Survive If I Let You	Response	Advanced	5	0	3		Suplex	TRUE	Taz Wrestler	Combo Attack.  Reverse any card. Enters - Attempt to Suplex opponent. 	
Sweep	Strike	Advanced 	4	2	3	L	Kick, Set-up			Enters - Play a High Risk from your discard by paying for it.   Capitalize - The High Risk may come from your Market. 	Sweep
Swift Chop	Strike	Advanced	1	3	3	T	Chop			Sudden. Special - When this enters your Market it gains Echo this turn	Swift Chop
T-Bone Suplex	Grapple	Advanced	8	6	4		Suplex			Can Reverse any Punch	T-Bone Suplex
Taekwondo Head Kick	Strike	Advanced	5	4	4	H	Kick			Sudden, Permanent	Taekwondo Head Kick
Tarantula	Submission	Advanced	2	5	5	-				Illegal, Rope Break, Resilient	Tarantula
Taz Wrestler	Wrestler	Advanced			5			TRUE	Taz Wrestler	Tie-Up Action - Commit: Attempt to Suplex opponent. 	Taz
Tazmission	Submission	Advanced	18	13	13	H		TRUE	Taz Wrestler	Finisher.  Enters - Try to Submit Opponent, any Suplex can add to this. 	
The 'Ol One-Two	Strike	Advanced	3	5	5	H	Punch		Anthony Ogogo	Anthony Ogogo - -1C. Enters - Play a Punch from your Hand or Discard, if it costs 3 or less, it gains Combo Attack. 	The 'Ol One-Two
The Baddest Man on the Planet	Call Name	Advanced			2		Boxer	TRUE	Baddest Man on the Planet	Ongoing - Your Punches are +1M.  Your Starting Draw Deck may contain up to 3C of Punches. 	The Baddest Man on the Planet
The Conglomeration	Faction	Advanced			3			TRUE	The Conglomeration	Flip - Pay XM. If X is 1 or more, draw a card. 3 or more gain 3 Stamina. If 5 or more you may Tuck any number of cards from your Market, refill your Market. If 7 or more put any number of cards from your discard beneath your draw deck and tuck any number of them. 	The Conglomeration
The Elite	Faction	Advanced			2			TRUE	The Elite	Flip - Draw three cards. 	The Elite
The Gov'na	Call Name	Advanced			2		Boxer	TRUE	The Gov'na	Ongoing - Your Punches are -1C.	The Gov'na
The Patriarchy	Faction	Advanced			4			TRUE	The Patriarchy	Flip - Choose a card in your Market to gain Sudden this turn, a card in your discard to gain Relentless this turn, Scout, then you may Attempt to Draw Heat. Christian Cage - You may pick an additional card from both your Market and Discard. 	The Patriarchy
The Rainmaker	Call Name	Advanced			6			TRUE	The Rainmaker	None, isn't the Momentum enough? 	The Rainmaker
The Rated-R Superstar	Call Name	Advanced			3			TRUE	The Rated-R Superstar	Your Starting Draw Deck may contain an additional copy of three 0C cards, and may contain up to 4 total cost in cards. 	The Rated-R Superstar
The Young Bucks Wrestler	Wrestler	Advanced			4		Tag Team	TRUE	The Young Bucks Wrestler	Ongoing - Your Market is +1.	The Young Bucks 
Throw Money Around	Action	Advanced	0	0	1					Enters - Purchase a card, refill your Market. 	Throw Money Around
Timeless	Call Name	Advanced			1			TRUE	Timeless	Your Starting Draw Deck may include up to 3 cost worth of Actions and 2 cost of any cards.	Timeless
Torture Rack 	Submission	Advanced	12	8	8	T				Ongoing - Opponent's Market is -2.	Torture Rack 
Trick Punch	Strike	Advanced	2	4	4	H	Punch			Has Echo and Sudden while you have A Punch in your ring	Trick Punch
Until They Get Punched in the Face	Response	Advanced 	8	1	3		Punch		Mike Tyson	Reverse any Action. Special - You may Commit a Punch as an additional cost, if you do Reverse any card instead. Mike Tyson - Combo Attack	Until They Get Punched in the Face
Vacant Wrestler	Wrestler	Advanced			3			TRUE	Vacant	For your Kit choose one maneuver, one action, and one response regardless of wrestler logo. Those cards now have your logo. 	Vacant
Versatile Striker	Action	Advanced	4	0	2					Enters - Reveal cards from the top of your Draw Deck until you reveal a Strike, play that card. If you have a Grapple in your ring it gets +3D, if you have a Submission in your ring it gains "Enters - Stun opponent then Scout." 	Versatile Striker
Vertical Suplex	Grapple	Advanced	6	6	6	T	Suplex			Can Reverse any Suplex. 	Vertical Suplex
Wild Thing	Call Name	Advanced			1			TRUE	Wild Thing	Your Starting Draw Deck may include up to 3 cost worth of Maneuvers and 2 cost of any cards.	Wild Thing
Will Hobbs Wrestler	Wrestler	Advanced			4			TRUE	Will Hobbs Wrestler	Ongoing - Your maneuvers with no printed abilities gain 'Enters - Scout'. 	Will Hobbs
Will Ospreay Wrestler	Wrestler	Advanced			5			TRUE	Will Ospreay Wrestler	Ongoing - Your face down cards have Hidden.   Tie-Up Action - Commit : Play a card from your hand face down (choose a maneuver type and a target, it's a 0/2/2)	Will Ospreay
Willow Nightingale Manager	Manager	Advanced			2			TRUE	Willow Nightingale 	Trigger - At the beginning of each Recovery Phase gain 2 Stamina. 	Willow Nightingale
Win If You Can	Action	Advanced	13	0	6			TRUE	Taz Wrestler	Resilient. 	
Winded	Injury	Advanced	0		0					Ongoing - Your Hold is -1	Winded
Wise	Action	Advanced	9	0	4				Christian Cage	Permanent.  Ongoing - Your cards are -1C.  Christian Cage Enters - Attempt to Anger the Crowd. 	Wise
Word of the Day	Action	Advanced	4	0	2			TRUE	The Conglomeration	Enters - Choose any number of cards from your discard and market. You may pay 1M for each card to Tuck that card. If cards from your discard are tucked this way draw a card and gain 2 Stamina. Then refill your Market. 	Word of the Day
World's Most Dangerous Slam	Grapple	Advanced	18	16	16	T	Slam	TRUE	Will Hobbs Wrestler	Ongoing - Your maneuvers with no printed abilities are +3D. Enters - You may have this gain Permanent this turn. 	World's Most Dangerous Slam
